Food,Category,Calories_per_100g,LP_Servings,LP_Calories,NLP_Servings,NLP_Calories
Mock chicken legs,Mock chicken legs,228.19,0.0,0.0,0.0,0.0
Eggnog,Eggnog,88.11,0.0,0.0,0.0,0.0
Milk,Milk,71.1,0.0,0.0,0.0,0.0
Rice milk,Rice milk,46.53,0.0,0.0,0.0,0.0
Beef and broccoli,Beef and broccoli,159.29,0.0,0.0,0.0,0.0
Spinach dip,Spinach dip,158.94,0.0,0.0,0.0,0.0
Banana split,Banana split,202.34,1.0924,221.04,0.9456,191.32
Scrapple,Scrapple,226.96,0.0,0.0,0.0,0.0
Goat's milk,Goat's milk,69.3,1.4772,102.37,1.246,86.35
Tuna,Tuna,102.01,0.0,0.0,0.0,0.0
Lentils,Lentils,170.1,2.442,415.38,2.5825,439.27
Sweetbreads,Sweetbreads,117.64,0.0,0.0,0.0,0.0
Peanut butter,Peanut butter,639.1,0.1604,102.49,0.0,0.0
Orange chicken,Orange chicken,261.8,0.0,0.0,0.0,0.0
Apple-sweet potato juice,Apple-sweet potato juice,47.7,9.967,475.43,5.8378,278.46
Yogurt,Yogurt,63.11,2.841,179.3,3.0438,192.09
Almond milk,Almond milk,30.85,0.0,0.0,10.0,308.5
Beef stew with potatoes and vegetables including carrots,Beef stew with potatoes and vegetables including carrots,89.7,0.0,0.0,0.0,0.0
Salmon,Salmon,121.6,0.0,0.0,0.0,0.0
Beef,Beef,177.67,0.0,0.0,0.0,0.0
